Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS, 4, 0, 0, 0, 2017, June, Wednesday, 07:05 am, 080, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 10:10 pm, 080, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 08:30 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 10:00 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 01:40 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 01:10 pm, 110, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 11:15 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 03:40 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, June, Thursday, 05:45 pm, 060, Wet, N, Night, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, June, Wednesday, 04:02 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 04:30 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 05:15 pm, 050, Dry, N, Night, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 05:30 pm, 060, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, May, Thursday, 03:20 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 1, 2017, June, Wednesday, 03:42 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 06:00 pm, 110, Dry, N, Night, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 02:13 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 04:15 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 04:15 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 03:15 pm, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 03:15 pm, 080, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 08:10 pm, 060, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 07:30 am, 060, Dry, N, Daylight, Hit Pedestrian, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 03:30 am, 100, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Thursday, 07:50 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Thursday, 07:20 am, 100, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 1, 0, 2017, June, Thursday, 06:00 am, 050, Dry, N, Night, Right Angle, Major Injury, N, Y
AUS, 2, 0, 0, 1, 2017, June, Thursday, 08:00 am, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Thursday, 08:45 am, 080, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, April, Sunday, 03:30 pm, 050, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Thursday, 11:26 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 09:45 am, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 01:15 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 07:30 am, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, June, Thursday, 02:10 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Thursday, 04:45 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Thursday, 03:48 pm, 100, Wet, Y, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Thursday, 03:30 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 04:20 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, June, Thursday, 03:15 pm, 100, Wet, Y, Daylight, Head On, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 02:50 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 05:15 pm, 050, Dry, N, Night, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 05:40 pm, 060, Wet, Y, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, May, Saturday, 06:05 pm, 050, Wet, Y, Night, Hit Pedestrian, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Thursday, 05:10 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 09:39 pm, 100, Wet, Y, Night, Hit Fixed Object, Not Injured, N, Y
AUS, 3, 0, 0, 0, 2017, June, Friday, 03:40 am, 060, Dry, N, Night, Hit Pedestrian, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, June, Friday, 07:50 am, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 3, 0, 0, 2, 2017, June, Friday, 07:34 am, 100, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 08:30 am, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 09:30 am, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 01:30 pm, 110, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 09:20 am, 080, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 09:45 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, June, Thursday, 04:50 pm, 060, Wet, Y, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 06:15 pm, 050, Dry, N, Night, Head On, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 09:22 am, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 05:45 pm, 060, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 07:25 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 08:45 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 3, 0, 0, 1, 2017, June, Friday, 08:35 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, June, Friday, 12:20 pm, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 05:30 pm, 060, Dry, N, Night, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 03:20 pm, 040, Wet, Y, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 10:00 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 12:45 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 08:45 am, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, June, Friday, 03:15 pm, 110, Dry, N, Daylight, Right Angle, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 03:00 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Friday, 04:00 pm, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 02:30 pm, 110, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Thursday, 06:30 pm, 060, Dry, N, Night, Right Angle, Minor Injury, N, N
AUS, 3, 0, 0, 2, 2017, June, Friday, 03:00 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 05:05 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Friday, 05:50 pm, 050, Dry, N, Night, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Friday, 04:55 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 4, 0, 0, 0, 2017, June, Friday, 03:25 pm, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 04:45 pm, 080, Wet, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 07:00 pm, 110, Dry, N, Night, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 10:10 pm, 080, Dry, N, Night, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 09:45 pm, 050, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS, 2, 0, 1, 0, 2017, June, Friday, 05:40 pm, 100, Wet, N, Night, Hit Fixed Object, Major Injury, Y, N
AUS, 4, 0, 0, 0, 2017, June, Friday, 10:55 pm, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 04:15 am, 060, Wet, Y, Night, Hit Fixed Object, Not Injured, Y, N
AUS, 2, 0, 0, 1, 2017, June, Friday, 10:00 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Saturday, 10:40 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 07:00 pm, 040, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Saturday, 12:00 pm, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 02:30 pm, 100, Wet, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, June, Friday, 06:45 pm, 060, Dry, N, Night, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Saturday, 01:50 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 05:00 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 10:00 am, 080, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Saturday, 12:40 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Saturday, 02:10 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, Y
AUS, 2, 0, 0, 0, 2017, June, Saturday, 04:00 pm, 050, Dry, N, Daylight, Head On, Not Injured, N, N
AUS, 4, 0, 0, 0, 2017, June, Saturday, 04:15 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, June, Friday, 08:50 pm, 060, Dry, N, Night, Right Angle, Minor Injury, N, N
AUS, 4, 0, 0, 2, 2017, June, Saturday, 02:25 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Friday, 03:23 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 1, 0, 0, 2017, June, Saturday, 03:02 pm, 060, Dry, N, Daylight, Hit Fixed Object, Fatal, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 05:45 pm, 060, Dry, N, Night, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 10:25 pm, 100, Dry, N, Night, Hit Fixed Object, Not Injured, N, Y
AUS, 2, 0, 0, 0, 2017, June, Saturday, 02:40 am, 080, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 4, 0, 2017, June, Saturday, 08:55 pm, 100, Dry, N, Night, Head On, Major Injury, N, Y
AUS, 2, 0, 0, 0, 2017, June, Saturday, 12:55 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, May, Tuesday, 08:15 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Sunday, 09:50 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Sunday, 09:28 am, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 05:35 pm, 060, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 12:15 pm, 100, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 05:10 pm, 080, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 04:50 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 09:00 am, 050, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 01:00 pm, 080, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Sunday, 02:00 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 04:00 pm, 080, Wet, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Sunday, 05:00 pm, 050, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Saturday, 07:45 pm, 060, Dry, N, Night, Head On, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 05:05 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, June, Sunday, 05:40 pm, 060, Dry, N, Night, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Saturday, 08:00 pm, 060, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 06:15 pm, 090, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 08:30 pm, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 07:15 pm, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 09:40 pm, 070, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Sunday, 11:23 pm, 080, Wet, Y, Night, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 02:00 am, 080, Wet, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 02:50 am, 060, Wet, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 01:00 am, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Monday, 01:30 am, 080, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Friday, 01:25 pm, 080, Dry, N, Daylight, Head On, Not Injured, N, N
AUS, 4, 0, 1, 0, 2017, May, Tuesday, 05:00 pm, 050, Dry, N, Daylight, Hit Fixed Object, Major Injury, N, N
AUS, 2, 1, 0, 1, 2017, June, Sunday, 11:40 pm, 050, Dry, N, Night, Hit Fixed Object, Fatal, N, N
AUS, 2, 0, 0, 1, 2017, June, Sunday, 01:00 pm, 080, Dry, N, Daylight, Rear End, Minor Injury, N, Y
AUS, 2, 0, 0, 0, 2017, June, Monday, 07:30 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 01:55 pm, 110, Dry, N, Daylight, Head On, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, June, Monday, 10:20 am, 080, Dry, N, Daylight, Side Swipe, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 01:50 pm, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 12:05 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 02:30 pm, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Monday, 03:59 pm, 110, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, June, Monday, 04:28 pm, 060, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Monday, 02:35 pm, 050, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Monday, 08:20 pm, 050, Dry, N, Night, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Monday, 07:00 pm, 050, Dry, N, Night, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 02:00 am, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Monday, 01:45 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 08:15 am, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 08:20 am, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 10:37 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Friday, 04:00 pm, 100, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 07:48 am, 050, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 10:15 am, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 08:35 am, 050, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 12:00 pm, 040, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 09:35 am, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 11:55 am, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 11:22 am, 040, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 4, 0, 0, 0, 2017, June, Tuesday, 12:40 pm, 090, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 3, 0, 0, 2, 2017, June, Tuesday, 11:45 am, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 10:00 am, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, Y
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 01:00 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 01:58 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Thursday, 08:00 pm, 060, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 02:25 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Tuesday, 01:30 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 01:00 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 02:35 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 4, 0, 0, 0, 2017, June, Monday, 11:40 pm, 060, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 04:31 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Tuesday, 03:20 pm, 090, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 04:45 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 02:25 pm, 050, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, Y
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 08:30 am, 070, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 04:00 pm, 060, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, June, Tuesday, 05:55 pm, 060, Dry, N, Night, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Tuesday, 06:08 pm, 050, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 05:40 pm, 060, Dry, N, Night, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 06:20 pm, 060, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 04:00 pm, 060, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, Y
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 06:53 pm, 100, Dry, N, Night, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 07:35 pm, 100, Dry, N, Night, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 05:40 pm, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Monday, 05:20 pm, 060, Dry, N, Night, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 04:30 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 08:25 pm, 060, Dry, N, Night, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 03:20 pm, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 4, 0, 0, 2, 2017, June, Tuesday, 09:20 pm, 080, Dry, N, Night, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 10:10 pm, 080, Dry, N, Night, Hit Fixed Object, Not Injured, Y, N
AUS, 2, 1, 0, 0, 2017, June, Tuesday, 09:30 pm, 040, Dry, N, Night, Hit Pedestrian, Fatal, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 12:40 am, 080, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 3, 0, 0, 0, 2017, June, Tuesday, 11:58 pm, 050, Dry, N, Night, Hit Pedestrian, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Tuesday, 11:15 pm, 050, Dry, N, Night, Rear End, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Tuesday, 11:50 am, 080, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 12:20 pm, 100, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, June, Tuesday, 02:40 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 03:42 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 05:50 pm, 100, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 08:10 am, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 01:30 pm, 050, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 08:25 am, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 3, 0, 0, 1, 2017, June, Wednesday, 08:45 am, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Tuesday, 10:09 am, 060, Dry, N, Daylight, Right Angle, Not Injured, N, Y
AUS, 2, 0, 0, 0, 2017, June, Monday, 06:30 pm, 050, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, June, Sunday, 12:30 pm, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 10:30 am, 050, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 09:10 am, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, June, Wednesday, 01:20 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, June, Wednesday, 08:00 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, June, Wednesday, 12:00 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
