Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 02:33 pm, 050, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 03:43 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 03:05 pm, 080, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 02:40 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 05:19 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 06:00 pm, 080, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 05:20 pm, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 05:40 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 02:40 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 03:15 pm, 050, Dry, N, Daylight, Hit Pedestrian, Not Injured, N, N
AUS, 2, 0, 2, 0, 2017, January, Tuesday, 05:06 pm, 100, Dry, N, Daylight, Head On, Major Injury, Y, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 02:35 pm, 050, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 08:20 am, 080, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 06:58 am, 070, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Tuesday, 05:50 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 11:20 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Monday, 06:40 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 07:30 pm, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Wednesday, 11:00 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Tuesday, 11:40 am, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Wednesday, 11:20 am, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
